1875,4
1876,4
1877,6
1878,9
1879,6
1880,7
1881,1
1882,10
1883,1
1884,6
1885,7
1886,1
1887,1
1888,4
1889,34
1890,8
1891,1
1892,15
1893,15
1894,14
1895,10
1896,16
1897,15
1898,12
1899,11
1900,19
1901,13
1902,14
1903,12
1904,12
1905,16
1906,16
1907,10
1908,9
1909,13
1910,18
1911,12
1912,16
1913,14
1914,13
1915,7
1916,7
1917,5
1918,5
1919,15
1920,12
1921,12
1922,12
1923,11
1924,10
1925,13
1926,3
1927,12
1928,11
1929,11
1930,10
1931,9
1932,10
1933,54
1934,7
1935,7
1936,8
1937,11
1938,11
1939,11
1940,12
1941,8
1942,4
1943,10
1944,9
1945,11
1946,10
1947,11
1948,7
1949,39
1950,11
1951,12
1952,39
1953,10
1954,12
1955,10
1956,11
1957,10
1958,10
1959,11
1960,14
1961,12
1962,13
1963,10
1964,9
1965,13
1966,10
1967,10
1968,11
1969,10
1970,11
1971,10
1972,10
1973,10
1974,10
1975,10
